id,context,sentence,graph,variable_name,predicate,broad_aspect_1,broad_aspect_2,broad_aspect_3,broad_aspect_4,broad_aspect_5,compare
lpp_1943.23,I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .,At a glance I can distinguish China from Arizona .,"(s23p / possible-01
      :ARG1 (s23d / distinguish-01
                  :ARG0 (s23i / i)
                  :ARG1 (s23c / country
                              :name (s23n / name
                                          :op1 ""China"")
                              :wiki ""China"")
                  :ARG2 (s23s / state
                              :name (s23n2 / name
                                           :op1 ""Arizona"")
                              :wiki ""Arizona"")
                  :manner (s23g / glance-01
                                :ARG0 s23i)))",s23d,distinguish-01,state,state,,,,TRUE
lpp_1943.23,I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .,At a glance I can distinguish China from Arizona .,"(s23p / possible-01
      :ARG1 (s23d / distinguish-01
                  :ARG0 (s23i / i)
                  :ARG1 (s23c / country
                              :name (s23n / name
                                          :op1 ""China"")
                              :wiki ""China"")
                  :ARG2 (s23s / state
                              :name (s23n2 / name
                                           :op1 ""Arizona"")
                              :wiki ""Arizona"")
                  :manner (s23g / glance-01
                                :ARG0 s23i)))",s23g,glance-01,endeavor,endeavor,,,endeavor,TRUE
lpp_1943.24,At a glance I can distinguish China from Arizona .,"If one gets lost in the night , such knowledge is valuable .","(s24v / value-02
      :ARG1 (s24k / knowledge
                  :mod (s24s / such))
      :condition (s24g / get-03
                       :ARG1 (s24o / one)
                       :ARG2 (s24l / lost
                                   :temporal (s24d / date-entity
                                                   :dayperiod (s24n / night)))))",s24v,value-02,state,state,,,,TRUE
lpp_1943.24,At a glance I can distinguish China from Arizona .,"If one gets lost in the night , such knowledge is valuable .","(s24v / value-02
      :ARG1 (s24k / knowledge
                  :mod (s24s / such))
      :condition (s24g / get-03
                       :ARG1 (s24o / one)
                       :ARG2 (s24l / lost
                                   :temporal (s24d / date-entity
                                                   :dayperiod (s24n / night)))))",s24g,get-03,performance,performance,,,,TRUE
lpp_1943.25,"If one gets lost in the night , such knowledge is valuable .",In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .,"(s25e / encounter-01
      :ARG0 (s25i / i)
      :ARG1 (s25p / person
                  :quant (s25m2 / many
                                :mod (s25g2 / great))
                  :ARG1-of (s25c / concern-01
                                 :ARG0 (s25m3 / matter
                                              :ARG1-of (s25c2 / consequential-01))))
      :quant (s25m / many
                   :mod (s25g / great))
      :temporal (s25c3 / course
                       :possessor (s25l / life
                                        :mod (s25t / this))))",s25e,encounter-01,habitual,process,habitual,,,FALSE
lpp_1943.25,"If one gets lost in the night , such knowledge is valuable .",In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .,"(s25e / encounter-01
      :ARG0 (s25i / i)
      :ARG1 (s25p / person
                  :quant (s25m2 / many
                                :mod (s25g2 / great))
                  :ARG1-of (s25c / concern-01
                                 :ARG0 (s25m3 / matter
                                              :ARG1-of (s25c2 / consequential-01))))
      :quant (s25m / many
                   :mod (s25g / great))
      :temporal (s25c3 / course
                       :possessor (s25l / life
                                        :mod (s25t / this))))",s25c,concern-01,state,state,,,,TRUE
lpp_1943.25,"If one gets lost in the night , such knowledge is valuable .",In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .,"(s25e / encounter-01
      :ARG0 (s25i / i)
      :ARG1 (s25p / person
                  :quant (s25m2 / many
                                :mod (s25g2 / great))
                  :ARG1-of (s25c / concern-01
                                 :ARG0 (s25m3 / matter
                                              :ARG1-of (s25c2 / consequential-01))))
      :quant (s25m / many
                   :mod (s25g / great))
      :temporal (s25c3 / course
                       :possessor (s25l / life
                                        :mod (s25t / this))))",s25c2,consequential-01,none,none,,,,TRUE
lpp_1943.26,In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .,I have lived a great deal among grown - ups .,"(s26l / live-01
      :ARG0 (s26i / i)
      :mod (s26d / deal
                 :mod (s26g2 / great))
      :place (s26a / among
                   :op1 (s26g / grown-up)))",s26l,live-01,state,state,,,,TRUE
lpp_1943.27,I have lived a great deal among grown - ups .,"I have seen them intimately , close at hand .","(s27s / see-01
      :ARG0 (s27i / i)
      :ARG1 (s27t / they)
      :ARG1-of (s27c / close-10
                     :ARG2 (s27a / at-hand-14
                                 :ARG1 s27t))
      :ARG2-of (s27i2 / intimate-02
                      :ARG1 s27i))",s27s,see-01,state,state,,,,TRUE
lpp_1943.27,I have lived a great deal among grown - ups .,"I have seen them intimately , close at hand .","(s27s / see-01
      :ARG0 (s27i / i)
      :ARG1 (s27t / they)
      :ARG1-of (s27c / close-10
                     :ARG2 (s27a / at-hand-14
                                 :ARG1 s27t))
      :ARG2-of (s27i2 / intimate-02
                      :ARG1 s27i))",s27c,close-10,none,none,,,,TRUE
lpp_1943.27,I have lived a great deal among grown - ups .,"I have seen them intimately , close at hand .","(s27s / see-01
      :ARG0 (s27i / i)
      :ARG1 (s27t / they)
      :ARG1-of (s27c / close-10
                     :ARG2 (s27a / at-hand-14
                                 :ARG1 s27t))
      :ARG2-of (s27i2 / intimate-02
                      :ARG1 s27i))",s27a,at-hand-14,none,none,,,,TRUE
lpp_1943.27,I have lived a great deal among grown - ups .,"I have seen them intimately , close at hand .","(s27s / see-01
      :ARG0 (s27i / i)
      :ARG1 (s27t / they)
      :ARG1-of (s27c / close-10
                     :ARG2 (s27a / at-hand-14
                                 :ARG1 s27t))
      :ARG2-of (s27i2 / intimate-02
                      :ARG1 s27i))",s27i2,intimate-02,none,none,,,,TRUE
lpp_1943.28,"I have seen them intimately , close at hand .",And that has n't much improved my opinion of them .,"(s28a / and
      :op2 (s28i / improve-01
                 :ARG0 (s28t / that)
                 :ARG1 (s28t3 / thing
                              :ARG1-of (s28o2 / opine-01
                                              :ARG0 (s28i2 / i)
                                              :topic (s28t2 / they)))
                 :degree intensifier
                 :polarity -))",s28i,improve-01,performance,performance,,,,TRUE
lpp_1943.28,"I have seen them intimately , close at hand .",And that has n't much improved my opinion of them .,"(s28a / and
      :op2 (s28i / improve-01
                 :ARG0 (s28t / that)
                 :ARG1 (s28t3 / thing
                              :ARG1-of (s28o2 / opine-01
                                              :ARG0 (s28i2 / i)
                                              :topic (s28t2 / they)))
                 :degree intensifier
                 :polarity -))",s28o2,opine-01,none,none,,,,TRUE
lpp_1943.29,And that has n't much improved my opinion of them .,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","(s29t / try-01
      :ARG0 (s29i / i)
      :ARG1 (s29e / experiment-01
                  :ARG1 (s29s / show-01
                              :ARG1 (s29w / work-of-art
                                          :name (s29n / name
                                                      :op1 ""Drawing""
                                                      :op2 ""Number""
                                                      :op3 ""One"")
                                          :wiki -)
                              :ARG2 (s29p / person
                                          :ARG1-of (s29i2 / include-91
                                                          :ARG2 (s29t3 / they))
                                          :ARG0-of (s29s3 / see-01
                                                          :ARG1-of (s29c / clear-08)
                                                          :ARG1-of (s29s4 / seem-01
                                                                          :ARG2 s29i)
                                                          :degree (s29a3 / at-all)))
                              :ARG1-of (s29k / keep-01
                                             :ARG0 s29i
                                             :temporal (s29a / always))))
      :temporal (s29m / meet-02
                      :ARG0 s29i
                      :ARG1 s29p
                      :mod (s29a2 / any)))",s29t,try-01,habitual,habitual,,,,TRUE
lpp_1943.29,And that has n't much improved my opinion of them .,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","(s29t / try-01
      :ARG0 (s29i / i)
      :ARG1 (s29e / experiment-01
                  :ARG1 (s29s / show-01
                              :ARG1 (s29w / work-of-art
                                          :name (s29n / name
                                                      :op1 ""Drawing""
                                                      :op2 ""Number""
                                                      :op3 ""One"")
                                          :wiki -)
                              :ARG2 (s29p / person
                                          :ARG1-of (s29i2 / include-91
                                                          :ARG2 (s29t3 / they))
                                          :ARG0-of (s29s3 / see-01
                                                          :ARG1-of (s29c / clear-08)
                                                          :ARG1-of (s29s4 / seem-01
                                                                          :ARG2 s29i)
                                                          :degree (s29a3 / at-all)))
                              :ARG1-of (s29k / keep-01
                                             :ARG0 s29i
                                             :temporal (s29a / always))))
      :temporal (s29m / meet-02
                      :ARG0 s29i
                      :ARG1 s29p
                      :mod (s29a2 / any)))",s29e,experiment-01,process,process,,,,TRUE
lpp_1943.29,And that has n't much improved my opinion of them .,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","(s29t / try-01
      :ARG0 (s29i / i)
      :ARG1 (s29e / experiment-01
                  :ARG1 (s29s / show-01
                              :ARG1 (s29w / work-of-art
                                          :name (s29n / name
                                                      :op1 ""Drawing""
                                                      :op2 ""Number""
                                                      :op3 ""One"")
                                          :wiki -)
                              :ARG2 (s29p / person
                                          :ARG1-of (s29i2 / include-91
                                                          :ARG2 (s29t3 / they))
                                          :ARG0-of (s29s3 / see-01
                                                          :ARG1-of (s29c / clear-08)
                                                          :ARG1-of (s29s4 / seem-01
                                                                          :ARG2 s29i)
                                                          :degree (s29a3 / at-all)))
                              :ARG1-of (s29k / keep-01
                                             :ARG0 s29i
                                             :temporal (s29a / always))))
      :temporal (s29m / meet-02
                      :ARG0 s29i
                      :ARG1 s29p
                      :mod (s29a2 / any)))",s29s,show-01,habitual,habitual,,,,TRUE
lpp_1943.29,And that has n't much improved my opinion of them .,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","(s29t / try-01
      :ARG0 (s29i / i)
      :ARG1 (s29e / experiment-01
                  :ARG1 (s29s / show-01
                              :ARG1 (s29w / work-of-art
                                          :name (s29n / name
                                                      :op1 ""Drawing""
                                                      :op2 ""Number""
                                                      :op3 ""One"")
                                          :wiki -)
                              :ARG2 (s29p / person
                                          :ARG1-of (s29i2 / include-91
                                                          :ARG2 (s29t3 / they))
                                          :ARG0-of (s29s3 / see-01
                                                          :ARG1-of (s29c / clear-08)
                                                          :ARG1-of (s29s4 / seem-01
                                                                          :ARG2 s29i)
                                                          :degree (s29a3 / at-all)))
                              :ARG1-of (s29k / keep-01
                                             :ARG0 s29i
                                             :temporal (s29a / always))))
      :temporal (s29m / meet-02
                      :ARG0 s29i
                      :ARG1 s29p
                      :mod (s29a2 / any)))",s29i2,include-91,none,none,,,,TRUE
lpp_1943.29,And that has n't much improved my opinion of them .,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","(s29t / try-01
      :ARG0 (s29i / i)
      :ARG1 (s29e / experiment-01
                  :ARG1 (s29s / show-01
                              :ARG1 (s29w / work-of-art
                                          :name (s29n / name
                                                      :op1 ""Drawing""
                                                      :op2 ""Number""
                                                      :op3 ""One"")
                                          :wiki -)
                              :ARG2 (s29p / person
                                          :ARG1-of (s29i2 / include-91
                                                          :ARG2 (s29t3 / they))
                                          :ARG0-of (s29s3 / see-01
                                                          :ARG1-of (s29c / clear-08)
                                                          :ARG1-of (s29s4 / seem-01
                                                                          :ARG2 s29i)
                                                          :degree (s29a3 / at-all)))
                              :ARG1-of (s29k / keep-01
                                             :ARG0 s29i
                                             :temporal (s29a / always))))
      :temporal (s29m / meet-02
                      :ARG0 s29i
                      :ARG1 s29p
                      :mod (s29a2 / any)))",s29s3,see-01,none,state,state,,,FALSE
lpp_1943.29,And that has n't much improved my opinion of them .,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","(s29t / try-01
      :ARG0 (s29i / i)
      :ARG1 (s29e / experiment-01
                  :ARG1 (s29s / show-01
                              :ARG1 (s29w / work-of-art
                                          :name (s29n / name
                                                      :op1 ""Drawing""
                                                      :op2 ""Number""
                                                      :op3 ""One"")
                                          :wiki -)
                              :ARG2 (s29p / person
                                          :ARG1-of (s29i2 / include-91
                                                          :ARG2 (s29t3 / they))
                                          :ARG0-of (s29s3 / see-01
                                                          :ARG1-of (s29c / clear-08)
                                                          :ARG1-of (s29s4 / seem-01
                                                                          :ARG2 s29i)
                                                          :degree (s29a3 / at-all)))
                              :ARG1-of (s29k / keep-01
                                             :ARG0 s29i
                                             :temporal (s29a / always))))
      :temporal (s29m / meet-02
                      :ARG0 s29i
                      :ARG1 s29p
                      :mod (s29a2 / any)))",s29c,clear-08,none,state,none,,,FALSE
lpp_1943.29,And that has n't much improved my opinion of them .,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","(s29t / try-01
      :ARG0 (s29i / i)
      :ARG1 (s29e / experiment-01
                  :ARG1 (s29s / show-01
                              :ARG1 (s29w / work-of-art
                                          :name (s29n / name
                                                      :op1 ""Drawing""
                                                      :op2 ""Number""
                                                      :op3 ""One"")
                                          :wiki -)
                              :ARG2 (s29p / person
                                          :ARG1-of (s29i2 / include-91
                                                          :ARG2 (s29t3 / they))
                                          :ARG0-of (s29s3 / see-01
                                                          :ARG1-of (s29c / clear-08)
                                                          :ARG1-of (s29s4 / seem-01
                                                                          :ARG2 s29i)
                                                          :degree (s29a3 / at-all)))
                              :ARG1-of (s29k / keep-01
                                             :ARG0 s29i
                                             :temporal (s29a / always))))
      :temporal (s29m / meet-02
                      :ARG0 s29i
                      :ARG1 s29p
                      :mod (s29a2 / any)))",s29s4,seem-01,state,state,,,,TRUE
lpp_1943.29,And that has n't much improved my opinion of them .,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","(s29t / try-01
      :ARG0 (s29i / i)
      :ARG1 (s29e / experiment-01
                  :ARG1 (s29s / show-01
                              :ARG1 (s29w / work-of-art
                                          :name (s29n / name
                                                      :op1 ""Drawing""
                                                      :op2 ""Number""
                                                      :op3 ""One"")
                                          :wiki -)
                              :ARG2 (s29p / person
                                          :ARG1-of (s29i2 / include-91
                                                          :ARG2 (s29t3 / they))
                                          :ARG0-of (s29s3 / see-01
                                                          :ARG1-of (s29c / clear-08)
                                                          :ARG1-of (s29s4 / seem-01
                                                                          :ARG2 s29i)
                                                          :degree (s29a3 / at-all)))
                              :ARG1-of (s29k / keep-01
                                             :ARG0 s29i
                                             :temporal (s29a / always))))
      :temporal (s29m / meet-02
                      :ARG0 s29i
                      :ARG1 s29p
                      :mod (s29a2 / any)))",s29k,keep-01,state,habitual,habitual,,,FALSE
lpp_1943.29,And that has n't much improved my opinion of them .,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","(s29t / try-01
      :ARG0 (s29i / i)
      :ARG1 (s29e / experiment-01
                  :ARG1 (s29s / show-01
                              :ARG1 (s29w / work-of-art
                                          :name (s29n / name
                                                      :op1 ""Drawing""
                                                      :op2 ""Number""
                                                      :op3 ""One"")
                                          :wiki -)
                              :ARG2 (s29p / person
                                          :ARG1-of (s29i2 / include-91
                                                          :ARG2 (s29t3 / they))
                                          :ARG0-of (s29s3 / see-01
                                                          :ARG1-of (s29c / clear-08)
                                                          :ARG1-of (s29s4 / seem-01
                                                                          :ARG2 s29i)
                                                          :degree (s29a3 / at-all)))
                              :ARG1-of (s29k / keep-01
                                             :ARG0 s29i
                                             :temporal (s29a / always))))
      :temporal (s29m / meet-02
                      :ARG0 s29i
                      :ARG1 s29p
                      :mod (s29a2 / any)))",s29m,meet-02,habitual,habitual,,,,TRUE
lpp_1943.30,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","I would try to find out , so , if this was a person of true understanding .","(s30t / try-01
      :ARG0 (s30i / i)
      :ARG1 (s30f / find-out-03
                  :ARG0 s30i
                  :ARG1 (s30t4 / truth-value
                               :polarity-of (s30u2 / understand-01
                                                   :ARG0 (s30p / person
                                                               :mod (s30t2 / this))
                                                   :ARG1-of (s30t3 / true-01)))))",s30t,try-01,habitual,habitual,,,,TRUE
lpp_1943.30,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","I would try to find out , so , if this was a person of true understanding .","(s30t / try-01
      :ARG0 (s30i / i)
      :ARG1 (s30f / find-out-03
                  :ARG0 s30i
                  :ARG1 (s30t4 / truth-value
                               :polarity-of (s30u2 / understand-01
                                                   :ARG0 (s30p / person
                                                               :mod (s30t2 / this))
                                                   :ARG1-of (s30t3 / true-01)))))",s30f,find-out-03,endeavor,endeavor,,,,TRUE
lpp_1943.30,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","I would try to find out , so , if this was a person of true understanding .","(s30t / try-01
      :ARG0 (s30i / i)
      :ARG1 (s30f / find-out-03
                  :ARG0 s30i
                  :ARG1 (s30t4 / truth-value
                               :polarity-of (s30u2 / understand-01
                                                   :ARG0 (s30p / person
                                                               :mod (s30t2 / this))
                                                   :ARG1-of (s30t3 / true-01)))))",s30u2,understand-01,none,state,state,,,FALSE
lpp_1943.30,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .","I would try to find out , so , if this was a person of true understanding .","(s30t / try-01
      :ARG0 (s30i / i)
      :ARG1 (s30f / find-out-03
                  :ARG0 s30i
                  :ARG1 (s30t4 / truth-value
                               :polarity-of (s30u2 / understand-01
                                                   :ARG0 (s30p / person
                                                               :mod (s30t2 / this))
                                                   :ARG1-of (s30t3 / true-01)))))",s30t3,true-01,none,none,,,,TRUE
lpp_1943.31,"I would try to find out , so , if this was a person of true understanding ."," But , whoever it was , he , or she , would always say : "" That is a hat . ""","(s31c / contrast-91
      :ARG2 (s31s / say-01
                  :ARG0 (s31o / or
                              :op1 (s31h / he)
                              :op2 (s31s2 / she))
                  :ARG1 (s31h2 / hat
                               :domain (s31t / that))
                  :temporal (s31a / always)))",s31c,contrast-91,none,none,,,,TRUE
lpp_1943.31,"I would try to find out , so , if this was a person of true understanding ."," But , whoever it was , he , or she , would always say : "" That is a hat . ""","(s31c / contrast-91
      :ARG2 (s31s / say-01
                  :ARG0 (s31o / or
                              :op1 (s31h / he)
                              :op2 (s31s2 / she))
                  :ARG1 (s31h2 / hat
                               :domain (s31t / that))
                  :temporal (s31a / always)))",s31s,say-01,habitual,habitual,,,,TRUE
lpp_1943.32," But , whoever it was , he , or she , would always say : "" That is a hat . ""","Then I would never talk to that person about boa constrictors , or primeval forests , or stars .","(s32t / talk-01
      :ARG0 (s32i / i)
      :ARG1 (s32o / or
                  :op1 (s32b / boa
                             :mod (s32c2 / constrictor))
                  :op2 (s32f / forest
                             :mod (s32p2 / primeval))
                  :op3 (s32s / star))
      :ARG2 (s32p / person
                  :mod (s32t2 / that))
      :temporal (s32e / ever)
      :polarity -)",s32t,talk-01,habitual,habitual,,,,TRUE
lpp_1943.33,"Then I would never talk to that person about boa constrictors , or primeval forests , or stars .",I would bring myself down to his level .,"(s33b / bring-01
      :ARG0 (s33i / i)
      :ARG1 s33i
      :ARG2 (s33l / level
                  :possessor (s33h / he))
      :ARG3 (s33d / down))",s33b,bring-01,habitual,habitual,,,,TRUE
lpp_1943.34,I would bring myself down to his level .,"I would talk to him about bridge , and golf , and politics , and neckties .","(s34t / talk-01
      :ARG0 (s34i / i)
      :ARG1 (s34a / and
                  :op1 (s34b / bridge)
                  :op2 (s34g / golf)
                  :op3 (s34p / politics)
                  :op4 (s34n2 / necktie))
      :ARG2 (s34h / he))",s34t,talk-01,habitual,habitual,,,,TRUE
lpp_1943.35,"I would talk to him about bridge , and golf , and politics , and neckties .",And the grown - up would be greatly pleased to have met such a sensible man .,"(s35a / and
      :op2 (s35p / please-01
                 :ARG0 (s35m / meet-02
                             :ARG0 (s35g / grown-up)
                             :ARG1 (s35m2 / man
                                          :ARG2-of (s35s / sense-02
                                                         :degree intensifier)))
                 :ARG1 s35g
                 :degree intensifier))",s35p,please-01,state,state,,,,TRUE
lpp_1943.35,"I would talk to him about bridge , and golf , and politics , and neckties .",And the grown - up would be greatly pleased to have met such a sensible man .,"(s35a / and
      :op2 (s35p / please-01
                 :ARG0 (s35m / meet-02
                             :ARG0 (s35g / grown-up)
                             :ARG1 (s35m2 / man
                                          :ARG2-of (s35s / sense-02
                                                         :degree intensifier)))
                 :ARG1 s35g
                 :degree intensifier))",s35m,meet-02,performance,performance,,,,TRUE
lpp_1943.35,"I would talk to him about bridge , and golf , and politics , and neckties .",And the grown - up would be greatly pleased to have met such a sensible man .,"(s35a / and
      :op2 (s35p / please-01
                 :ARG0 (s35m / meet-02
                             :ARG0 (s35g / grown-up)
                             :ARG1 (s35m2 / man
                                          :ARG2-of (s35s / sense-02
                                                         :degree intensifier)))
                 :ARG1 s35g
                 :degree intensifier))",s35s,sense-02,none,none,,,,TRUE
lpp_1943.604,Chapter 11 .,The second planet was inhabited by a conceited man .,"(s604i / inhabit-01
       :ARG0 (s604m / man
                    :mod (s604c / conceit))
       :ARG1 (s604p / planet
                    :ord (s604o / ordinal-entity
                                :value 2)))",s604i,inhabit-01,state,state,,,,TRUE
lpp_1943.607,Ah !," I am about to receive a visit from an admirer ! "" he exclaimed from afar , when he first saw the little prince coming .","(s607e / exclaim-01
       :ARG0 (s607h / he)
       :ARG1 (s607v / visit-01
                    :ARG0 s607h
                    :ARG1 (s607p / person
                                 :ARG0-of (s607a / admire-01
                                                 :ARG1 s607h))
                    :temporal (s607a3 / about-to)
                    :quote s607e)
       :temporal (s607s / see-01
                        :ARG0 s607h
                        :ARG1 (s607c / come-01
                                     :ARG1 (s607p2 / prince
                                                   :mod (s607l / little)))
                        :ord (s607o / ordinal-entity
                                    :value 1))
       :direction (s607f2 / from
                          :op1 (s607a2 / afar)))",s607e,exclaim-01,performance,performance,,,,TRUE
lpp_1943.607,Ah !," I am about to receive a visit from an admirer ! "" he exclaimed from afar , when he first saw the little prince coming .","(s607e / exclaim-01
       :ARG0 (s607h / he)
       :ARG1 (s607v / visit-01
                    :ARG0 s607h
                    :ARG1 (s607p / person
                                 :ARG0-of (s607a / admire-01
                                                 :ARG1 s607h))
                    :temporal (s607a3 / about-to)
                    :quote s607e)
       :temporal (s607s / see-01
                        :ARG0 s607h
                        :ARG1 (s607c / come-01
                                     :ARG1 (s607p2 / prince
                                                   :mod (s607l / little)))
                        :ord (s607o / ordinal-entity
                                    :value 1))
       :direction (s607f2 / from
                          :op1 (s607a2 / afar)))",s607v,visit-01,process,process,,,,TRUE
